Year,Category,Economic sectors,Source,Type,Fuel type,Gas,MMTCO2e
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00019065
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000805194
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0001194399
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000161386
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.0000862722
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00091090818
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00042702975
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00081957099
1991,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000259376137798
1991,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.059171045273482
1991,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.152943989971032
1991,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.039671893929533
1991,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.396541541583165
1991,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000107853289736
1991,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000217155799271
1991,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000146399225861
1991,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.01878861121494
1991,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.045770348885625
1991,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.048871798168408
1991,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.375997423305722
1991,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.0641709766426
1991,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.083771393966034
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,3.991064157317000
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.311485705788970
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.456426187896433
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.019009569
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.004855314
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00023094702
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.001063175
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00204341375
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00020451125
1992,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.074867769750261
1992,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,1.507889246289100
1992,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.005904709492973
1992,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.00068169208758
1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,4.69726227327524
1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.227981042918535
1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000019660781539
1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.026207826265141
1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000000673099374
1992,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.003102175680841
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,3.390618738895480
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.973098348610569
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.007032593134065
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000504364126601
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000255626
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00316208025
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00044486125
1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00015455825
1992,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.187429807847145
1992,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000701434021368
1992,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.160642144197085
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.000100288749
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.70509970114021
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.4504896261679
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.000000465
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.00183768
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002371221
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.001559672
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.00000631449
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0020789496
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00084777525
1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.00792052548
1992,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000124840939343
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.000601732494
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.277877435581639
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.272922824466233
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00000279
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.00072261
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0001436571
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00017081
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00000126252
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0008174817
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00051361275
1992,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00086742915
1992,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000819963975887
1992,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.061366056827286
1992,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.158624162539898
1992,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.041028438227391
1992,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.372569378299843
1992,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000098079212279
1992,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000217857102406
1992,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000194557198585
1992,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.019399010755376
1992,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.04642028588925
1992,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.050876265154596
1992,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.40572621612312
1992,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.06305776669737
1992,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.111847437372803
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,5.435193657465
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,1.5981866852787
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.474288878097467
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.025888005
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0038104068
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00023998536
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.001447875
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00160365275
1993,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000212515
1993,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.074925670921991
1993,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,0.100767184239722
1993,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.000394591944219
1993,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.000045555197342
1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,4.897734039700040
1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.233210526284231
1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000025435865402
1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.025539024859474
1993,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000000873012725
1993,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.010661701178427
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.0625617817656
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,3.533459353363370
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,1.046634579325120
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.000306415871353
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.007535251307351
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000542145162478
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000267406
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.000165206754
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0033072375
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0004784675
1993,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00016168075
1993,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.173955076258659
1993,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.002410720958969
1993,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.17639310270007
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.0193365417
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.700164233316314
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.455313082572333
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.00009765
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.001830612
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000239661
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.002246446
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.0013260429
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00207095364
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0008568525
1993,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.01140818889
1993,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000429059127223
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.08821146166
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.313746163916728
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.285166983031333
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00044547
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000812076
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000150102
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000302746
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00020158236
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00091869372
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000536655
1993,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00153744339
1993,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.002818090201006
1993,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.06615564738035
1993,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.163618714282072
1993,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.043800942836442
1993,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.337361106796061
1993,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000076144331016
